ZXR1500,467603.07229984156,0,0,13, United-States, <=50K
ZXR1574,541237.1902100279,0,0,40, Mexico, <=50K
ZXR1575,356274.64933590137,0,0,40, United-States, <=50K
ZXR1576,328309.30388831435,0,0,2, United-States, <=50K
ZXR1577,347090.0877107666,0,0,22, United-States, <=50K
ZXR1578,385690.55486918945,0,0,40, United-States, <=50K
ZXR1579,312514.98528632935,0,0,30, United-States, <=50K
ZXR1580,436076.8654503127,0,0,40, Cuba, <=50K
ZXR1581,249330.99776451755,0,0,40, United-States, <=50K
ZXR1582,320929.0000063352,0,0,48, United-States, <=50K
ZXR1583,437206.65282410017,14344,0,40, United-States, >50K
ZXR1584,253624.53331702706,0,0,35, United-States, <=50K
ZXR1585,343854.0295693666,0,0,40, United-States, >50K
ZXR1586,461567.1835973867,0,0,50, United-States, <=50K
ZXR1587,248433.70602165535,0,0,40, United-States, <=50K
ZXR1588,290052.72038011195,0,0,50, United-States, >50K
ZXR1589,276914.394165904,0,0,40, United-States, <=50K
ZXR1590,387407.521213509,0,0,40, United-States, <=50K
ZXR1591,341982.7163253265,0,0,25, United-States, <=50K
ZXR1592,161045.478444356,0,1573,35, ?, <=50K
ZXR1593,489798.6300470177,0,0,40, United-States, >50K
ZXR1594,310684.40302257956,0,0,50, United-States, <=50K
ZXR1595,386517.9554847108,0,1902,60, United-States, >50K
ZXR1596,360470.6214920236,0,0,48, United-States, >50K
ZXR1597,314239.85817720415,0,0,40, England, <=50K
ZXR1598,261274.80989152408,0,0,40, United-States, <=50K
ZXR1599,283052.13337023417,0,0,40, United-States, >50K
ZXR1600,284229.4245484646,15024,0,60, United-States, >50K
ZXR1601,389679.7225671322,0,0,50, United-States, <=50K
ZXR1602,231271.30511436207,0,0,40, United-States, <=50K
ZXR1603,325190.82167737995,0,0,40, United-States, <=50K
ZXR1604,170789.0946346459,7688,0,40, United-States, >50K
ZXR1605,382246.6446254701,34095,0,32, United-States, <=50K
ZXR1606,476568.6700813251,0,0,40, United-States, <=50K
ZXR1607,265283.13368853723,0,0,40, United-States, <=50K
ZXR1608,353951.6233218434,0,0,40, United-States, <=50K
ZXR1609,451934.6468715401,0,0,40, United-States, <=50K
ZXR1610,199585.5353080323,0,0,40, United-States, >50K
ZXR1611,367749.32690923114,0,1887,50, Canada, >50K
ZXR1612,363852.88835668773,4064,0,25, United-States, <=50K
ZXR1613,332028.7129942675,0,0,40, United-States, <=50K
ZXR1614,488276.7108589341,0,0,50, United-States, <=50K
ZXR1615,288018.7240130341,0,0,50, United-States, <=50K
ZXR1616,270368.8602916945,0,0,40, United-States, >50K
ZXR1617,397855.299130157,0,0,56, United-States, <=50K
ZXR1618,479183.2716781204,0,0,41, United-States, <=50K
ZXR1619,413593.377603861,0,0,40, United-States, <=50K
ZXR1620,317483.7077401306,0,0,60, United-States, <=50K
ZXR1621,270295.55765777646,0,0,40, Germany, <=50K
ZXR1622,300129.1328542836,0,0,50, United-States, >50K
ZXR1623,191145.15961896832,0,0,35, United-States, <=50K
ZXR1624,484735.3764290402,0,0,40, United-States, >50K
ZXR1625,270483.26110932225,0,1719,28, United-States, <=50K
ZXR1626,391296.2335121918,0,0,40, United-States, >50K
ZXR1627,270109.14177879726,0,0,40, United-States, <=50K
ZXR1628,378562.3834107732,0,0,40, United-States, <=50K
ZXR1629,289778.4503751718,0,0,60, United-States, <=50K
ZXR1630,438115.74866380397,0,1762,40, United-States, <=50K
ZXR1631,470586.587137917,4386,0,35, United-States, <=50K
ZXR1632,227327.10477534088,0,0,50, United-States, <=50K
ZXR1633,278112.39287174545,0,0,36, United-States, <=50K
ZXR1634,284480.0587708828,0,0,40, Iran, >50K
ZXR1635,440721.2229296026,0,0,60, United-States, <=50K
ZXR1636,279912.94420671096,0,0,35, United-States, <=50K
ZXR1637,407837.70153464243,0,0,20, United-States, <=50K
ZXR1638,472712.3266170573,0,0,40, United-States, >50K
ZXR1639,292902.7639554129,0,0,40, United-States, <=50K
ZXR1640,332509.65043726505,0,0,40, United-States, <=50K
ZXR1641,301362.49124030827,0,0,30, Mexico, <=50K
ZXR1642,335192.08156434156,0,1564,40, United-States, >50K
ZXR1643,289817.46958492073,0,0,40, United-States, <=50K
ZXR1644,277454.8607161213,0,0,30, United-States, <=50K
ZXR1645,234527.1070461928,0,0,24, United-States, <=50K
ZXR1646,274213.70365395467,0,0,24, United-States, <=50K
ZXR1647,245925.7521127168,0,2179,40, United-States, <=50K
ZXR1648,418060.0042023489,0,0,40, United-States, <=50K
ZXR1649,425784.25091890065,0,0,38, Mexico, <=50K
ZXR1650,231805.76600530662,0,0,40, United-States, <=50K
ZXR1651,255733.02810399322,0,0,40, Philippines, <=50K
ZXR1652,416100.6307730422,0,0,35, United-States, <=50K
ZXR1653,453882.332784011,0,0,45, United-States, >50K
ZXR1654,388000.0154351878,0,0,46, United-States, <=50K
ZXR1655,350318.8950014976,0,0,40, United-States, <=50K
ZXR1656,426636.91172783263,0,1816,2, United-States, <=50K
ZXR1657,309190.35086178,0,0,60, United-States, <=50K
ZXR1658,370116.3431920144,0,0,50, United-States, <=50K
ZXR1659,442020.83937777265,0,0,20, United-States, <=50K
ZXR1660,457845.723097763,0,0,40, United-States, <=50K
ZXR1661,416152.0960591245,0,0,40, United-States, <=50K
ZXR1662,221850.99063987748,0,0,40, England, <=50K
ZXR1663,238017.09139013465,0,0,40, United-States, >50K
ZXR1664,187123.89234990554,0,0,40, Mexico, <=50K
ZXR1665,224611.22674763805,0,0,42, United-States, <=50K
ZXR1666,388613.84430941223,0,0,40, United-States, <=50K
ZXR1667,316491.7026766243,0,0,16, United-States, <=50K
ZXR1668,296375.8822556983,0,0,20, United-States, <=50K
ZXR1669,333788.0240837273,0,1980,40, United-States, <=50K
ZXR1670,293614.4690461693,0,0,40, United-States, <=50K
ZXR1671,378942.8448126012,0,1977,40, United-States, >50K
ZXR1672,368599.92198592034,0,0,50, United-States, <=50K
ZXR1673,353262.8164730336,0,0,40, United-States, >50K
ZXR1674,139477.91361796416,0,0,25, United-States, <=50K
ZXR1675,352368.7564287168,0,0,40, United-States, <=50K
ZXR1676,377819.4644459656,0,0,40, United-States, <=50K
ZXR1677,331256.1591502279,0,0,12, United-States, <=50K
ZXR1678,368334.9092208822,0,0,65, United-States, <=50K
ZXR1679,337267.2305668302,0,0,38, United-States, >50K
ZXR1680,284824.7005260665,0,0,40, United-States, <=50K
ZXR1681,469163.4121716616,0,0,45, United-States, <=50K
ZXR1682,455965.033499172,0,0,40, Mexico, >50K
ZXR1683,465256.40423515067,0,0,42, United-States, >50K
ZXR1684,414443.50674446585,0,0,40, United-States, <=50K
ZXR1685,401384.40849137504,0,0,40, United-States, <=50K
ZXR1686,297244.2543487861,0,0,50, United-States, <=50K
ZXR1687,483663.12606805237,0,0,50, United-States, <=50K
ZXR1688,455861.8363761407,0,0,1, United-States, >50K
ZXR1689,477735.8752201289,0,0,28, United-States, <=50K
ZXR1690,390154.1996156216,0,0,40, United-States, <=50K
ZXR1691,505937.2599964963,0,0,40, United-States, <=50K
ZXR1692,389575.43195582094,0,0,45, United-States, <=50K
ZXR1693,244428.77759245885,0,0,24, United-States, <=50K
ZXR1694,347108.45588270796,0,0,40, Mexico, <=50K
ZXR1695,464790.3139343544,0,0,40, United-States, <=50K
ZXR1696,263693.54917043797,14084,0,55, United-States, >50K
ZXR1697,350079.4685375759,7298,0,40, United-States, >50K
ZXR1698,343473.8913906915,0,0,40, United-States, <=50K
ZXR1699,276745.74070501263,0,1876,40, United-States, <=50K
ZXR1700,214936.13347340512,0,0,40, Italy, <=50K
ZXR1701,295626.3753479473,0,0,50, United-States, >50K
ZXR1702,240522.57041150588,0,1340,40, United-States, <=50K
ZXR1703,371137.3108420231,0,0,35, United-States, <=50K
ZXR1704,283351.7523405391,0,0,40, United-States, <=50K
ZXR1705,234321.85820374382,7298,0,36, United-States, >50K
ZXR1706,440419.5279988819,0,0,60, United-States, <=50K
ZXR1707,205296.697449775,15024,0,35, United-States, >50K
ZXR1708,184331.8676821503,0,0,12, United-States, <=50K
ZXR1709,322067.03438317304,0,0,40, United-States, <=50K
ZXR1710,325136.29447875253,0,0,40, United-States, >50K
ZXR1711,443071.11138580984,0,0,40, United-States, <=50K
ZXR1712,438101.5890368348,0,0,40, United-States, <=50K
ZXR1713,384575.13172731176,0,0,40, United-States, >50K
ZXR1714,333985.0243995611,0,0,60, United-States, >50K
ZXR1715,349209.29590948625,0,0,40, United-States, <=50K
ZXR1716,447090.6946782835,0,0,50, Poland, <=50K
ZXR1717,365477.59102427715,0,0,55, United-States, <=50K
ZXR1718,206535.00019337266,0,0,40, United-States, <=50K
ZXR1719,205142.5124279522,0,0,40, United-States, <=50K
ZXR1720,385447.174935218,0,0,40, United-States, <=50K
ZXR1721,470136.9014550801,0,2206,40, United-States, <=50K
ZXR1722,318814.2131924593,0,0,20, United-States, <=50K
ZXR1723,508476.39685347537,0,0,35, United-States, <=50K
ZXR1724,374704.347437521,0,0,40, United-States, <=50K
ZXR1725,368852.9181000255,0,0,10, United-States, <=50K
ZXR1726,590698.1907004537,1409,0,50, United-States, <=50K
ZXR1727,440172.52488612884,0,0,20, Columbia, <=50K
ZXR1728,362563.60549488425,0,0,40, United-States, <=50K
ZXR1729,341570.38561553415,3674,0,40, United-States, <=50K
ZXR1730,339773.1959437559,0,0,38, United-States, <=50K
ZXR1731,291221.10575461376,0,0,42, United-States, <=50K
ZXR1732,428803.19585063844,0,0,40, United-States, <=50K
ZXR1733,370006.23525467666,0,0,55, United-States, >50K
ZXR1734,349259.2502436823,0,0,40, United-States, <=50K
ZXR1735,467540.18166215264,0,0,38, United-States, <=50K
ZXR1736,253614.23122411128,0,0,50, Iran, >50K
ZXR1737,316151.27349145536,0,0,70, United-States, >50K
ZXR1738,307417.6878792716,0,0,40, United-States, <=50K
ZXR1739,318184.6713311543,0,0,40, United-States, >50K
ZXR1740,307429.1505913901,0,0,20, United-States, <=50K
ZXR1741,300006.7664553939,0,0,50, United-States, <=50K
ZXR1742,330622.9904814069,0,0,20, United-States, <=50K
ZXR1743,359911.1732549763,0,1741,40, United-States, <=50K
ZXR1744,387377.9642235654,0,0,35, ?, <=50K
ZXR1745,262114.17946892185,0,0,45, United-States, >50K
ZXR1746,383232.20529129624,0,0,34, United-States, <=50K
ZXR1747,295707.70357190265,0,1977,60, United-States, >50K
ZXR1748,470265.35257594776,0,0,40, ?, <=50K
ZXR1749,368726.61260169436,0,0,40, United-States, >50K
ZXR1750,348387.77501850366,0,0,40, United-States, <=50K
ZXR1751,196172.30269914572,0,0,30, United-States, <=50K
ZXR1752,410280.79816455435,0,0,40, United-States, <=50K
ZXR1753,409450.0059251303,0,0,20, United-States, <=50K
ZXR1754,281765.67654992436,0,0,40, Cambodia, >50K
ZXR1755,252338.55078116833,0,0,40, United-States, <=50K
ZXR1756,159623.37474949902,0,0,30, United-States, <=50K
ZXR1757,164535.3335418618,0,0,45, United-States, <=50K
ZXR1758,475747.75165922503,0,0,40, United-States, <=50K
ZXR1759,373100.0332818262,0,0,40, United-States, <=50K
ZXR1760,201527.95004675994,0,0,60, United-States, <=50K
ZXR1761,281052.73798367614,0,0,12, United-States, <=50K
ZXR1762,486225.8537852351,4064,0,40, United-States, <=50K
ZXR1763,420328.5027036819,0,0,40, United-States, <=50K
ZXR1764,506734.6559067147,0,0,75, Thailand, >50K
ZXR1765,419902.1586896825,0,0,24, Canada, <=50K
ZXR1766,183898.01859218674,0,0,40, United-States, >50K
ZXR1767,378779.4126260566,0,0,45, United-States, <=50K
ZXR1768,409859.5124244939,0,0,40, United-States, >50K
ZXR1769,192644.61338506514,0,0,40, United-States, >50K
ZXR1770,263376.4989529025,1055,0,24, United-States, <=50K
ZXR1771,430128.0949114164,2407,0,98, United-States, <=50K
ZXR1772,313030.44461937377,0,0,35, United-States, <=50K
ZXR1773,385687.50493991404,0,0,40, United-States, <=50K
ZXR1774,363180.4833581835,0,0,40, United-States, <=50K
ZXR1775,414066.07993710187,7298,0,40, United-States, >50K
ZXR1776,344283.8105405109,0,0,40, United-States, <=50K
ZXR1777,398503.069949236,0,0,40, United-States, <=50K
ZXR1778,210087.2041372356,7298,0,48, United-States, >50K
ZXR1779,281632.80685300776,0,0,15, Germany, <=50K
ZXR1780,493004.7538193215,5178,0,40, United-States, >50K
ZXR1781,279726.64805218333,0,0,45, United-States, <=50K
ZXR1782,400612.52567262633,0,0,42, United-States, <=50K
ZXR1783,261071.72150906303,0,0,40, United-States, <=50K
ZXR1784,631121.7455427209,15024,0,40, United-States, >50K
ZXR1785,357828.33117302816,0,0,60, United-States, >50K
ZXR1786,161223.3256086506,0,0,45, United-States, <=50K
ZXR1787,384002.4768080105,0,0,40, United-States, <=50K
ZXR1788,363920.6836028638,0,0,40, Ecuador, <=50K
ZXR1789,355087.0540565328,0,0,45, United-States, <=50K
ZXR1790,331918.30230363563,0,0,40, United-States, <=50K
ZXR1791,315709.6860033226,0,0,56, United-States, <=50K
ZXR1792,487565.05599977396,0,0,45, United-States, <=50K
ZXR1793,378365.65872865263,0,0,40, United-States, <=50K
ZXR1794,261176.7311402252,0,0,16, United-States, <=50K
ZXR1795,408541.92785898014,0,0,60, United-States, <=50K
ZXR1796,328910.9466962181,3464,0,40, ?, <=50K
ZXR1797,425747.83628414315,0,0,40, United-States, <=50K
ZXR1798,423366.7974875772,0,0,80, United-States, <=50K
ZXR1799,242903.92728204327,7688,0,40, United-States, >50K
ZXR1800,373253.2326674229,0,0,25, United-States, <=50K
ZXR1801,356647.76389096247,0,0,45, United-States, >50K
ZXR1802,490727.9894603677,4386,0,40, United-States, >50K
ZXR1803,358180.9715609018,0,0,40, Laos, <=50K
ZXR1804,286883.8015650458,0,0,40, United-States, <=50K
ZXR1805,292566.4334340406,0,0,45, United-States, <=50K
ZXR1806,252314.3156158764,0,0,33, United-States, <=50K
ZXR1807,411720.99486573075,0,0,40, United-States, >50K
ZXR1808,501866.9391462685,0,0,54, United-States, >50K
ZXR1809,333250.72352774604,0,0,40, United-States, <=50K
ZXR1810,421894.2737389653,7298,0,35, Taiwan, >50K
ZXR1811,341934.0855948556,0,0,25, United-States, <=50K
ZXR1812,436705.76344241516,0,0,40, United-States, >50K
ZXR1813,308140.1839959428,0,0,15, United-States, <=50K
ZXR1814,456999.82488292037,0,0,40, United-States, <=50K
ZXR1815,304463.3195618321,0,0,40, United-States, <=50K
ZXR1816,432932.18067145516,0,0,40, Mexico, <=50K
ZXR1817,461168.4626825486,0,0,40, United-States, <=50K
ZXR1818,361307.70276509254,0,0,24, United-States, <=50K
ZXR1819,142339.65474461345,0,0,40, United-States, <=50K
ZXR1820,447085.53266610426,0,1485,50, United-States, <=50K
ZXR1821,368493.7201315969,0,0,45, United-States, <=50K
ZXR1822,355585.81767108035,0,0,40, United-States, <=50K
ZXR1823,378979.3517220619,0,0,10, United-States, <=50K
ZXR1824,232675.1233076839,0,0,45, United-States, <=50K
ZXR1825,372984.80047732417,0,0,15, United-States, <=50K
ZXR1826,417597.6281438084,0,1887,50, United-States, >50K
ZXR1827,324652.6732077837,0,0,40, United-States, <=50K
ZXR1828,411833.32081620174,2050,0,55, United-States, <=50K
ZXR1829,370170.87139380805,0,0,45, United-States, <=50K
ZXR1830,256889.44930412556,0,0,40, United-States, <=50K
ZXR1831,422960.7450017147,0,0,40, United-States, <=50K
ZXR1832,274745.6793837598,0,0,40, United-States, <=50K
ZXR1833,363642.0539529468,0,0,40, United-States, <=50K
ZXR1834,316310.3222538458,0,0,48, Mexico, <=50K
ZXR1835,377251.01914051006,0,0,40, United-States, <=50K
ZXR1836,370664.4091776132,0,0,60, United-States, <=50K
ZXR1837,551783.3163674006,0,0,30, Haiti, <=50K
ZXR1838,354330.3780113139,0,0,40, United-States, <=50K
ZXR1839,424963.42312816146,0,0,40, United-States, <=50K
ZXR1840,405141.44618766644,7298,0,40, United-States, >50K
ZXR1841,300784.4280073967,7298,0,40, United-States, >50K
ZXR1842,451555.847659232,0,0,20, United-States, <=50K
ZXR1843,165258.97146204626,0,0,40, United-States, <=50K
ZXR1844,293871.07312830933,0,0,42, United-States, <=50K
ZXR1845,459066.9963369956,0,0,8, United-States, <=50K
ZXR1846,307872.2118862799,0,0,40, United-States, <=50K
ZXR1847,305424.319311456,0,0,25, Iran, <=50K
ZXR1848,625277.4896159011,0,0,25, United-States, <=50K
ZXR1849,270210.8108103586,0,0,40, United-States, >50K
ZXR1850,275639.4124050245,0,0,40, United-States, <=50K
ZXR1851,410234.81376129796,0,0,40, United-States, >50K
ZXR1852,340061.0129862872,0,0,30, United-States, <=50K
ZXR1853,313481.66881478817,0,0,40, United-States, >50K
ZXR1854,500548.48651693086,0,0,40, United-States, >50K
ZXR1855,252860.30262369942,0,0,40, United-States, <=50K
ZXR1856,380097.4199559161,0,0,40, United-States, >50K
ZXR1857,384166.11291783873,0,0,35, United-States, <=50K
ZXR1858,351855.2786435166,0,0,40, Portugal, <=50K
ZXR1859,437834.1616687313,0,0,24, United-States, <=50K
ZXR1860,307677.14446027623,0,0,40, United-States, >50K
ZXR1861,255589.027589767,0,0,45, United-States, <=50K
ZXR1862,254294.01452473376,0,1564,45, United-States, >50K
ZXR1863,436997.4869129074,0,0,55, United-States, <=50K
ZXR1864,348622.0404623588,0,0,40, United-States, <=50K
ZXR1865,391503.1967128334,0,0,45, United-States, <=50K
ZXR1866,281949.8025725798,0,0,15, United-States, <=50K
ZXR1867,388712.5810480346,0,0,45, United-States, >50K
ZXR1868,321227.0019605508,0,0,40, United-States, <=50K
ZXR1869,273860.65881402045,0,0,15, United-States, <=50K
ZXR1870,349073.52575517184,0,0,10, United-States, <=50K
ZXR1871,445700.0063412541,0,0,38, United-States, >50K
ZXR1872,375106.27316688147,0,0,40, United-States, <=50K
ZXR1873,341353.69710184186,0,0,40, United-States, <=50K
ZXR1874,315586.2071314282,0,0,10, United-States, <=50K
ZXR1875,387869.1684429881,0,0,40, United-States, <=50K
ZXR1876,512662.68127704645,0,0,40, United-States, <=50K
ZXR1877,284767.81224070897,0,0,30, United-States, <=50K
ZXR1878,483418.6413096526,0,0,50, United-States, <=50K
ZXR1879,398564.4660237529,0,0,40, United-States, <=50K
ZXR1880,257292.00381196762,0,2339,45, United-States, <=50K
ZXR1881,175624.46360694274,0,0,40, United-States, <=50K
ZXR1882,286234.30966435745,0,0,40, United-States, <=50K
ZXR1883,386013.3063173035,0,0,40, United-States, <=50K
ZXR1884,276854.3496152675,0,0,25, United-States, <=50K
ZXR1885,232009.3487652716,0,0,40, United-States, <=50K
ZXR1886,245413.05150277767,0,2415,6, United-States, >50K
ZXR1887,449521.48167027795,0,0,16, United-States, <=50K
ZXR1888,246765.6376247878,0,0,40, United-States, <=50K
ZXR1889,242995.1892097526,0,0,40, United-States, >50K
ZXR1890,458028.0934204501,0,0,50, United-States, <=50K
ZXR1891,440370.3825501074,0,0,40, United-States, <=50K
ZXR1892,413756.3067119032,7688,0,45, ?, >50K
ZXR1893,382989.9114422245,0,0,35, United-States, <=50K
ZXR1894,256759.3234020484,0,0,40, United-States, <=50K
ZXR1895,219153.57074993476,0,0,40, United-States, <=50K
ZXR1896,291830.53415399825,0,0,35, United-States, <=50K
ZXR1897,256047.80059521232,0,0,55, United-States, >50K
ZXR1898,518830.98204409354,0,0,50, United-States, >50K
ZXR1899,444910.4377621246,0,0,40, United-States, <=50K
ZXR1900,338057.0476956643,0,0,40, United-States, <=50K
ZXR1901,472888.91831110406,0,0,40, United-States, >50K
ZXR1902,463668.85189848405,0,0,64, United-States, <=50K
ZXR1903,369144.1131427065,0,2179,40, Puerto-Rico, <=50K
ZXR1904,551183.1900580598,0,1977,65, United-States, >50K
ZXR1905,407592.8591712632,0,0,40, United-States, <=50K
ZXR1906,461496.8678027178,0,0,25, United-States, <=50K
ZXR1907,357515.3636416918,0,1887,40, United-States, >50K
ZXR1908,475604.4338388534,0,0,50, United-States, <=50K
ZXR1909,339374.5424568803,0,0,24, United-States, <=50K
ZXR1910,335388.5131790052,0,0,40, United-States, <=50K
ZXR1911,381245.2192883831,0,0,40, United-States, <=50K
ZXR1912,323286.97629857267,15024,0,60, United-States, >50K
ZXR1913,448157.1685863563,0,0,40, United-States, <=50K
ZXR1914,249679.2731028507,0,0,50, United-States, >50K
ZXR1915,273255.0026830355,0,0,40, Mexico, <=50K
ZXR1916,339027.2345847831,0,0,19, United-States, <=50K
ZXR1917,412437.94807043375,0,0,40, United-States, <=50K
ZXR1918,363407.2408633213,0,0,40, United-States, <=50K
ZXR1919,225906.64842487482,0,0,30, United-States, <=50K
ZXR1920,215406.44345332665,2176,0,18, United-States, <=50K
ZXR1921,384500.11359071196,0,0,40, United-States, >50K
ZXR1922,446172.91998563195,0,0,40, United-States, <=50K
ZXR1923,502660.8533775448,0,0,35, United-States, <=50K
ZXR1924,496800.06996758364,0,0,60, United-States, <=50K
ZXR1925,329602.92193901085,0,1408,40, United-States, <=50K
ZXR1926,402591.1854007202,0,0,72, Dominican-Republic, <=50K
ZXR1927,401687.7173255021,0,0,40, United-States, >50K
ZXR1928,202631.3436173257,0,0,40, United-States, <=50K
ZXR1929,523264.50947347865,0,0,24, United-States, <=50K
ZXR1930,412806.6181285677,0,0,40, United-States, <=50K
ZXR1931,278509.81320801796,2174,0,40, United-States, <=50K
ZXR1932,378461.0056702642,0,0,25, United-States, >50K
ZXR1933,443312.18485824845,0,1980,40, Philippines, <=50K
ZXR1934,501221.06880448875,0,0,50, United-States, >50K
ZXR1935,384108.8460658718,594,0,60, United-States, <=50K
ZXR1936,342831.3259145235,0,0,40, United-States, <=50K
ZXR1937,278750.4095312645,0,0,40, United-States, <=50K
ZXR1938,413234.4516177751,0,0,40, United-States, <=50K
ZXR1939,345417.0958878251,0,0,40, United-States, <=50K
ZXR1940,227760.97396580083,0,0,28, United-States, <=50K
ZXR1941,304680.2653391935,0,0,40, United-States, <=50K
ZXR1942,370899.1933400476,0,0,40, United-States, >50K
ZXR1943,402059.6307552528,0,0,40, Mexico, <=50K
ZXR1944,320488.92451069166,0,0,35, United-States, <=50K
ZXR1945,435206.6096560944,0,0,40, United-States, <=50K
ZXR1946,479624.7820887127,0,0,40, United-States, <=50K
ZXR1947,295088.7802852827,0,0,40, United-States, <=50K
ZXR1948,296461.903269375,0,0,5, United-States, <=50K
ZXR1949,327490.1090103232,0,0,40, United-States, <=50K
ZXR1950,241148.10835855486,0,0,55, United-States, >50K
ZXR1951,309089.92359007424,0,0,40, United-States, >50K
ZXR1952,379335.22483091947,0,0,40, ?, >50K
ZXR1953,292748.26542049396,0,0,40, United-States, >50K
ZXR1954,436700.9935058166,0,0,40, United-States, >50K
ZXR1955,287378.14614884474,0,0,40, United-States, <=50K
ZXR1956,211101.24268435582,0,0,50, United-States, <=50K
ZXR1957,373136.7792742577,0,0,60, United-States, <=50K
ZXR1958,302337.8844101273,0,0,40, United-States, <=50K
ZXR1959,297131.47177775245,0,0,40, United-States, <=50K
ZXR1960,264907.1880949502,0,0,40, United-States, <=50K
ZXR1961,234332.13636858872,0,0,50, United-States, <=50K
ZXR1962,424164.77121673815,0,0,40, United-States, <=50K
ZXR1963,209324.79699336016,0,0,20, United-States, <=50K
ZXR1964,281771.02675205097,0,0,60, United-States, <=50K
ZXR1965,163958.46898449762,0,0,40, United-States, <=50K
