ZXR1500,50, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR1605,17, ?, 10th,6, Never-married, ?, Own-child, White, Female
ZXR1606,30, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male
ZXR1607,31, Local-gov, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female
ZXR1608,42, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
ZXR1609,24, Private, Bachelors,13, Never-married, Sales, Other-relative, White, Male
ZXR1610,38, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR1611,56, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male
ZXR1612,28, Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female
ZXR1613,36, Private, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female
ZXR1614,53, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
ZXR1615,56, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male
ZXR1616,49, Local-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male
ZXR1617,55, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male
ZXR1618,22, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male
ZXR1619,21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female
ZXR1620,40, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR1621,30, Private, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male
ZXR1622,29, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR1623,19, Private, Some-college,10, Never-married, Other-service, Own-child, Black, Male
ZXR1624,47, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female
ZXR1625,20, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female
ZXR1626,31, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male
ZXR1627,35, ?, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male
ZXR1628,39, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male
ZXR1629,28, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female
ZXR1630,24, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female
ZXR1631,38, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR1632,37, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male
ZXR1633,46, Private, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black, Female
ZXR1634,38, Federal-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR1635,43, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR1636,27, Private, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female
ZXR1637,20, Private, Some-college,10, Never-married, Sales, Own-child, White, Male
ZXR1638,49, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male
ZXR1639,61, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR1640,27, Private, Some-college,10, Never-married, Sales, Own-child, White, Female
ZXR1641,19, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male
ZXR1642,45, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female
ZXR1643,70, Private, Some-college,10, Never-married, Tech-support, Other-relative, White, Male
ZXR1644,31, Private, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Female
ZXR1645,22, Private, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male
ZXR1646,36, Private, HS-grad,9, Widowed, Other-service, Unmarried, White, Female
ZXR1647,64, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR1648,43, ?, Some-college,10, Divorced, ?, Not-in-family, White, Female
ZXR1649,47, Local-gov, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female
ZXR1650,34, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female
ZXR1651,33, Private, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female
ZXR1652,21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male
ZXR1653,52, ?, HS-grad,9, Divorced, ?, Not-in-family, White, Male
ZXR1654,48, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR1655,23, Private, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male
ZXR1656,71, Self-emp-not-inc, Some-college,10, Separated, Sales, Unmarried, Black, Male
ZXR1657,29, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male
ZXR1658,42, Private, Bachelors,13, Separated, Other-service, Other-relative, Black, Male
ZXR1659,68, ?, 1st-4th,2, Divorced, ?, Not-in-family, White, Female
ZXR1660,25, Private, HS-grad,9, Never-married, Other-service, Unmarried, White, Female
ZXR1661,44, Self-emp-inc, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female
ZXR1662,28, Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female
ZXR1663,45, Self-emp-not-inc, Masters,14, Married-civ-spouse, Sales, Husband, White, Male
ZXR1664,36, Private, Some-college,10, Divorced, Other-service, Unmarried, White, Female
ZXR1665,39, Federal-gov, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male
ZXR1666,46, State-gov, Masters,14, Widowed, Protective-serv, Unmarried, White, Male
ZXR1667,18, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male
ZXR1668,66, Local-gov, Assoc-voc,11, Widowed, Prof-specialty, Not-in-family, White, Female
ZXR1669,27, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male
ZXR1670,28, State-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male
ZXR1671,51, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male
ZXR1672,27, Private, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male
ZXR1673,28, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR1674,27, Private, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, Female
ZXR1675,21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male
ZXR1676,34, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male
ZXR1677,18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male
ZXR1678,33, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR1679,44, Local-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male
ZXR1680,43, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female
ZXR1681,30, Private, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male
ZXR1682,40, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR1683,37, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male
ZXR1684,34, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male
ZXR1685,41, Self-emp-not-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female
ZXR1686,53, ?, Bachelors,13, Divorced, ?, Not-in-family, White, Female
ZXR1687,31, Private, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female
ZXR1688,58, State-gov, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR1689,38, Private, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female
ZXR1690,24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR1691,41, Local-gov, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male
ZXR1692,47, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male
ZXR1693,41, Federal-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male
ZXR1694,23, Private, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male
ZXR1695,36, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male
ZXR1696,40, Federal-gov, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female
ZXR1697,35, Private, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male
ZXR1698,24, Self-emp-not-inc, HS-grad,9, Never-married, Sales, Not-in-family, White, Male
ZXR1699,26, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female
ZXR1700,19, ?, HS-grad,9, Never-married, ?, Own-child, White, Male
ZXR1701,51, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR1702,42, Local-gov, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female
ZXR1703,37, State-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female
ZXR1704,18, Private, 11th,7, Never-married, Sales, Own-child, White, Female
ZXR1705,36, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black, Male
ZXR1706,35, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male
ZXR1707,58, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female
ZXR1708,17, Private, 11th,7, Never-married, Sales, Own-child, White, Female
ZXR1709,44, Local-gov, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male
ZXR1710,37, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR1711,35, Private, Some-college,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female
ZXR1712,60, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male
ZXR1713,54, Self-emp-inc, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
ZXR1714,37, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male
ZXR1715,50, Private, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Female
ZXR1716,38, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male
ZXR1717,45, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR1718,25, Private, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male
ZXR1719,31, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
ZXR1720,64, ?, 1st-4th,2, Divorced, ?, Not-in-family, White, Male
ZXR1721,90, Private, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male
ZXR1722,54, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male
ZXR1723,53, Local-gov, Preschool,1, Never-married, Machine-op-inspct, Not-in-family, White, Female
ZXR1724,18, Private, HS-grad,9, Never-married, Sales, Own-child, White, Female
ZXR1725,60, ?, 10th,6, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female
ZXR1726,66, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male
ZXR1727,75, Private, Assoc-voc,11, Widowed, Adm-clerical, Not-in-family, White, Female
ZXR1728,65, Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female
ZXR1729,35, Private, 11th,7, Separated, Transport-moving, Not-in-family, Black, Male
ZXR1730,41, Private, HS-grad,9, Divorced, Sales, Unmarried, Black, Female
ZXR1731,25, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male
ZXR1732,33, Private, Some-college,10, Divorced, Craft-repair, Other-relative, Other, Female
ZXR1733,28, Private, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male
ZXR1734,59, State-gov, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male
ZXR1735,40, State-gov, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female
ZXR1736,41, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR1737,38, Local-gov, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR1738,23, Private, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male
ZXR1739,40, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR1740,41, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female
ZXR1741,24, State-gov, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male
ZXR1742,20, ?, Some-college,10, Never-married, ?, Own-child, White, Male
ZXR1743,38, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male
ZXR1744,56, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male
ZXR1745,58, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male
ZXR1746,32, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female
ZXR1747,40, Private, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male
ZXR1748,45, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male
ZXR1749,41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female
ZXR1750,42, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Black, Female
ZXR1751,59, Local-gov, 10th,6, Widowed, Other-service, Unmarried, Black, Female
ZXR1752,19, Local-gov, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male
ZXR1753,58, Private, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male
ZXR1754,42, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male
ZXR1755,20, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female
ZXR1756,32, Private, HS-grad,9, Separated, Other-service, Not-in-family, White, Female
ZXR1757,45, Private, Assoc-voc,11, Widowed, Exec-managerial, Not-in-family, White, Female
ZXR1758,50, Private, 7th-8th,4, Divorced, Craft-repair, Not-in-family, White, Male
ZXR1759,36, Private, Bachelors,13, Divorced, Prof-specialty, Own-child, White, Female
ZXR1760,45, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male
ZXR1761,17, Private, 11th,7, Never-married, Other-service, Own-child, White, Male
ZXR1762,59, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male
ZXR1763,26, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR1764,37, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male
ZXR1765,19, ?, Some-college,10, Never-married, ?, Own-child, White, Male
ZXR1766,64, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR1767,33, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female
ZXR1768,33, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female
ZXR1769,61, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male
ZXR1770,17, Private, 9th,5, Never-married, Other-service, Own-child, White, Male
ZXR1771,50, Self-emp-not-inc, Masters,14, Married-civ-spouse, Farming-fishing, Husband, White, Male
ZXR1772,27, Local-gov, Masters,14, Never-married, Prof-specialty, Own-child, White, Male
ZXR1773,30, Private, HS-grad,9, Divorced, Prof-specialty, Own-child, White, Female
ZXR1774,43, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male
ZXR1775,44, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR1776,35, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female
ZXR1777,25, Private, Some-college,10, Never-married, Tech-support, Own-child, White, Female
ZXR1778,24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Wife, White, Female
ZXR1779,22, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female
ZXR1780,42, Local-gov, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR1781,34, Private, Assoc-acdm,12, Divorced, Sales, Unmarried, Black, Female
ZXR1782,60, Private, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female
ZXR1783,21, Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male
ZXR1784,57, Federal-gov, Masters,14, Married-civ-spouse, Sales, Husband, White, Male
ZXR1785,41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR1786,50, Private, Some-college,10, Divorced, Other-service, Not-in-family, White, Male
ZXR1787,25, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female
ZXR1788,50, Private, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male
ZXR1789,36, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male
ZXR1790,31, Private, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, Female
ZXR1791,29, Local-gov, Bachelors,13, Never-married, Protective-serv, Not-in-family, White, Male
ZXR1792,21, Private, Some-college,10, Never-married, Sales, Own-child, White, Male
ZXR1793,27, Private, Bachelors,13, Never-married, Tech-support, Unmarried, Black, Female
ZXR1794,65, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male
ZXR1795,37, Self-emp-inc, Bachelors,13, Divorced, Sales, Not-in-family, White, Female
ZXR1796,39, ?, Masters,14, Married-civ-spouse, ?, Wife, Asian-Pac-Islander, Female
ZXR1797,24, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male
ZXR1798,38, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Male
ZXR1799,48, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male
ZXR1800,21, Private, Some-college,10, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female
ZXR1801,31, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male
ZXR1802,55, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male
